Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
MIFGSM,49211,True,10.25539207458496,984,Trivial Default.csv,
MIFGSM,12664,True,10.366302490234377,253,Trivial Default.csv,
MIFGSM,34350,True,10.711959838867188,687,Trivial Default.csv,
MIFGSM,19658,True,10.916468620300291,393,Trivial Default.csv,
RFGSM,31502,True,10.463114738464355,630,Trivial Default.csv,
RFGSM,33014,True,10.322778701782228,660,Trivial Default.csv,
RFGSM,34638,True,10.106914520263672,692,Trivial Default.csv,
RFGSM,29785,True,10.34688663482666,595,Trivial Default.csv,
RFGSM,21816,True,9.955161094665527,436,Trivial Default.csv,
RFGSM,15664,True,10.113373756408691,313,Trivial Default.csv,
RFGSM,46751,True,9.649296760559082,935,Trivial Default.csv,
RFGSM,37438,True,10.130258560180664,748,Trivial Default.csv,
RFGSM,21503,True,10.414660453796388,430,Trivial Default.csv,
RFGSM,40603,True,9.25757884979248,812,Trivial Default.csv,
RFGSM,34749,True,10.718636512756348,694,Trivial Default.csv,
RFGSM,46520,True,10.167964935302734,930,Trivial Default.csv,
RFGSM,22878,True,9.958250045776367,457,Trivial Default.csv,
RFGSM,12766,True,10.381797790527344,255,Trivial Default.csv,
RFGSM,14162,True,10.164298057556152,283,Trivial Default.csv,
RFGSM,13665,True,9.897607803344728,273,Trivial Default.csv,
RFGSM,6405,True,10.648482322692873,128,Trivial Default.csv,
RFGSM,10143,True,9.941949844360352,202,Trivial Default.csv,
RFGSM,5805,True,10.83732795715332,116,Trivial Default.csv,
RFGSM,14611,True,10.247200965881348,292,Trivial Default.csv,
RFGSM,13075,True,10.03835678100586,261,Trivial Default.csv,
RFGSM,30698,True,10.720845222473145,613,Trivial Default.csv,
RFGSM,91,True,10.273846626281738,1,Trivial Default.csv,
RFGSM,3993,True,9.965694427490234,79,Trivial Default.csv,
RFGSM,25040,True,10.291967391967772,500,Trivial Default.csv,
RFGSM,49504,True,10.369269371032717,990,Trivial Default.csv,
RFGSM,30471,True,10.52134895324707,609,Trivial Default.csv,
RFGSM,29886,True,10.161502838134766,597,Trivial Default.csv,
RFGSM,7337,True,10.516205787658691,146,Trivial Default.csv,
RFGSM,49287,True,10.434066772460938,985,Trivial Default.csv,
RFGSM,1991,True,10.374834060668944,39,Trivial Default.csv,
RFGSM,885,True,10.001797676086426,17,Trivial Default.csv,
RFGSM,2223,True,9.45432186126709,44,Trivial Default.csv,
RFGSM,49943,True,9.63721752166748,998,Trivial Default.csv,
RFGSM,42010,True,10.37843418121338,840,Trivial Default.csv,
RFGSM,819,True,10.32921028137207,16,Trivial Default.csv,
RFGSM,15923,True,9.933863639831545,318,Trivial Default.csv,
RFGSM,21678,True,10.6292724609375,433,Trivial Default.csv,
RFGSM,26085,True,10.138626098632812,521,Trivial Default.csv,
RFGSM,49211,True,10.21352195739746,984,Trivial Default.csv,
RFGSM,12664,True,10.102368354797363,253,Trivial Default.csv,
RFGSM,34350,True,10.60727882385254,687,Trivial Default.csv,
RFGSM,19658,True,10.746750831604004,393,Trivial Default.csv,
EOTPGD,31502,True,10.46450138092041,630,Trivial Default.csv,
EOTPGD,33014,True,10.35549545288086,660,Trivial Default.csv,
EOTPGD,34638,True,10.012256622314451,692,Trivial Default.csv,
EOTPGD,29785,True,10.47254467010498,595,Trivial Default.csv,
EOTPGD,21816,True,9.996477127075195,436,Trivial Default.csv,
EOTPGD,15664,True,10.08840274810791,313,Trivial Default.csv,
EOTPGD,46751,True,9.74140453338623,935,Trivial Default.csv,
EOTPGD,37438,True,10.13220500946045,748,Trivial Default.csv,
EOTPGD,21503,True,10.441306114196776,430,Trivial Default.csv,
EOTPGD,40603,True,9.283098220825195,812,Trivial Default.csv,
EOTPGD,34749,True,10.753676414489746,694,Trivial Default.csv,
EOTPGD,46520,True,10.178964614868164,930,Trivial Default.csv,
EOTPGD,22878,True,9.950475692749023,457,Trivial Default.csv,
EOTPGD,12766,True,10.413175582885742,255,Trivial Default.csv,
EOTPGD,14162,True,10.142420768737791,283,Trivial Default.csv,
EOTPGD,13665,True,9.87259292602539,273,Trivial Default.csv,
EOTPGD,6405,True,10.628409385681152,128,Trivial Default.csv,
EOTPGD,10143,True,9.923619270324709,202,Trivial Default.csv,
EOTPGD,5805,True,10.817452430725098,116,Trivial Default.csv,
EOTPGD,14611,True,10.257572174072266,292,Trivial Default.csv,
EOTPGD,13075,True,10.15255355834961,261,Trivial Default.csv,
EOTPGD,30698,True,10.71240520477295,613,Trivial Default.csv,
EOTPGD,91,True,10.15786838531494,1,Trivial Default.csv,
